domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
artpeopleart.com,3,homepage,RuntimeError,"AP 갤러리, 뱅크아트페어",http://artpeopleart.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.gallerygwanghwa.co.kr,3,homepage,RuntimeError,갤러리광화,http://www.gallerygwanghwa.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
한국서예학원.crw.kr,3,homepage,UnicodeEncodeError,한국서예학원,http://한국서예학원.crw.kr/,'latin-1' codec can't encode characters in position 0-5: ordinal not in range(256)
www.tmuseum.co.kr,3,homepage,HTTPError,아름다운차박물관,http://www.tmuseum.co.kr/,HTTP Error 403: Forbidden
www.changjakdan.com,3,homepage,RuntimeError,문화예술협동조합 창작단,http://www.changjakdan.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.secondmuseum.com,3,homepage,HTTPError,세컨드뮤지엄,http://www.secondmuseum.com/,HTTP Error 403: Forbidden
종로문화원.kr,3,homepage,UnicodeEncodeError,종로문화원,http://종로문화원.kr/,'latin-1' codec can't encode characters in position 0-4: ordinal not in range(256)
www.museum.seoul.kr,3,homepage,RuntimeError,한양도성박물관,http://www.museum.seoul.kr/scwm/NR_index.do,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.spoonartfair.com,3,homepage,RuntimeError,Spoon Art Fair,http://www.spoonartfair.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www2.hm.com,3,homepage,HTTPError,H&M 명동 플래그십 스토어,http://www2.hm.com/ko_kr/index.html,HTTP Error 403: Forbidden
galleryjoeun.com,3,homepage,RuntimeError,갤러리조은,https://galleryjoeun.com/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
www.ntok.go.kr,3,page,HTTPError,국립극장 무대예술지원센터,https://www.ntok.go.kr/sasc/content/exhibition.do,HTTP Error 404: 404
www.jletters.org,3,homepage,RuntimeError,로아,http://www.jletters.org/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.magpine.co.kr,3,homepage,RuntimeError,MAGPINE fine art advisory,http://www.magpine.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.theholics.co.kr,3,homepage,HTTPError,더홀릭스,http://www.theholics.co.kr/,HTTP Error 403: Forbidden
www.atelieraki.com,3,homepage,RuntimeError,아뜰리에 아키,https://www.atelieraki.com/,"HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.atelieraki.com'. (_ssl.c:1081)>"
www.gallerywon.co.kr,3,homepage,RuntimeError,갤러리원,http://www.gallerywon.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
laneigelifeoasis.com,3,homepage,RuntimeError,라네즈 : 라이프 오아시스 2.0,https://laneigelifeoasis.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.aaacs.or.kr,3,homepage,RuntimeError,서울문화예술회관연합회,http://www.aaacs.or.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.thefairstory.com,3,homepage,HTTPError,더페어스토리,http://www.thefairstory.com/,HTTP Error 404:
www.paircloset.co.kr,3,homepage,RuntimeError,페어클로젯,http://www.paircloset.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
